BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY1,BK_MONEY2,BK_MONEY3,$ data,¢ data,BK_ENTRY
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Cash lost or stole,,,,1,6,,,,31 October 1754,Cash,1,6,,,,By Cash lost or stole
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By 12 1/2 Yards  Velvet,,,,9,7,6,,,31 October 1754,Cash,9,7,6,,,By 12 1/2 Yards  Velvet
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By the Barber,,,,,10,,,,31 October 1754,Cash,,10,,,,By the Barber
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Mr Finnies Ordinary Acct,,,,5,9,6,,,31 October 1754,Cash,5,9,6,,,By Mr Finnies Ordinary Account
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Board at Mrs Coulthards,,,,1,7,6,,,31 October 1754,Cash,1,7,6,,,By Board at Mrs Coulthards
"Ledger A, 1750 - 1772: pg.10",Credit,Right,,,,By Sum carried to Folio (17),,,£,99,2,2 1/2,,,31 October 1754,Cash,99,2,"2,5",,,By Sum carried to Folio (17)
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,,,,,,,,,,,,,"Carlyle, John",,,,,,
"Ledger A, 1750 - 1772: pg.11",Debit,Left,1754,May,20,To my Pay from my first entering the Service to the date hereof,,,,75,,,,,29 May 1754,"Carlyle, John",75,,,,,To my Pay from my first entering the Service to the date hereof
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,Septr,,To Ballance due me upon Settlement,,,,30,18,3,,,29 September 1754,"Carlyle, John",30,18,3,,,To Balance due me upon Settlement
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,Octr,,To Cash receivd of the Committee for me,,,,71,,,,,29 October 1754,"Carlyle, John",71,,,,,To Cash received of the Committee for me
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,Ditto,29,"To Ditto Recd of Colo. Stephen, my pay,",,,,69,,,,,29 October 1754,"Carlyle, John",69,,,,,"To Cash Received of Colo.Stephen, my pay,"
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,,,To John Maddin,,,,2,14,3,,,29 October 1754,"Carlyle, John",2,14,3,,,To John Maddin
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,,,To Captn McKay,,,,6,,,,,29 October 1754,"Carlyle, John",6,,,,,To Captain McKay
"Ledger A, 1750 - 1772: pg.11",Debit,Left,1755,Novr,25,"To Cash, being the Balle in full of all our dealings to this day as pr receipt",,,,101,18,7,,,25 November 1755,"Carlyle, John",101,18,7,,,"To Cash, being the Balance in full of all our dealings to this day as per receipt"
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,,,[Total],,,,356,11,1,,,25 November 1755,"Carlyle, John",356,11,1,,,[Total]
"Ledger A, 1750 - 1772: pg.11",Debit,Left,1756,Decr,16,To Cash to purchase a Bill of Excha. for Mr Rd Washington,,,,45,,,,,16 December 1756,"Carlyle, John",45,,,,,To Cash to purchase a Bill of Exchange for Mr Richard Washington
"Ledger A, 1750 - 1772: pg.11",Debit,Left,,,,To Ditto in Wmsburg pr Acct & Recd,,,,122,11,,,,16 December 1756,"Carlyle, John",122,11,,,,To Cash in Williamsburg per Account & received
"Ledger A, 1750 - 1772: pg.11",Debit,Left,1757,Feby,13,To Ditto lodgd with you to pay for Brookes's Negros,,,,150,,,,,13 February 1757,"Carlyle, John",150,,,,,To Cash lodged with you to pay for Brookes's Negros

